City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,hare bay,48.8499,-54.0148,274.93,74,8,5.34,CA,1669998049
84,lovozero,68.005,35.0117,266.56,96,93,2.15,RU,1669998049
85,bambous virieux,-20.3428,57.7575,298.29,73,40,1.54,MU,1669998050
86,caravelas,-17.7125,-39.2481,296.29,94,100,3.18,BR,1669998050
87,rancho palos verdes,33.7445,-118.387,285.72,95,100,4.02,US,1669998051
88,chokurdakh,70.6333,147.9167,253.27,96,100,8.91,RU,1669998051
89,talaya,61.3833,152.75,245.82,99,86,2.26,RU,1669998052
90,east london,-33.0153,27.9116,292.67,72,20,11.83,ZA,1669998018
91,cumberland,35.0502,-78.8664,285.3,47,100,2.06,US,1669998053
92,cockburn town,21.4612,-71.1419,299.26,72,12,10.18,TC,1669998053
93,katsuura,35.1333,140.3,284.17,70,99,4.56,JP,1669998054
94,luwuk,-0.9516,122.7875,298.2,86,93,1.14,ID,1669998054
95,saint-philippe,-21.3585,55.7679,298.92,76,59,2.69,RE,1669998055
96,saskylakh,71.9167,114.0833,263.35,95,100,5.57,RU,1669998055
97,belaya gora,68.5333,146.4167,250.23,96,100,5.82,RU,1669998056
98,bredasdorp,-34.5322,20.0403,291.05,54,6,10.63,ZA,1669998056
99,kirakira,-10.4544,161.9205,299.84,85,100,2.91,SB,1669998057
100,umba,66.6871,34.3429,269.37,86,99,1.14,RU,1669998057
101,ribeira grande,38.5167,-28.7,288.37,55,75,3.58,PT,1669998058
102,kodiak,57.79,-152.4072,268.88,68,0,3.09,US,1669998058
103,gamba,-2.65,10.0,297.79,91,100,3.31,GA,1669998059
104,leningradskiy,69.3833,178.4167,256.45,98,92,2.13,RU,1669998059
105,norman wells,65.282,-126.8329,263.17,79,100,4.63,CA,1669998060
106,anadyr,64.75,177.4833,271.43,86,75,3.0,RU,1669998060
107,palana,59.1167,159.9667,260.84,72,47,4.87,RU,1669998061
108,prince rupert,54.3161,-130.3201,270.98,61,100,8.75,CA,1669998061
109,castro,-24.7911,-50.0119,296.33,71,100,2.01,BR,1669998062
110,airai,-8.9266,125.4092,288.82,90,39,0.49,TL,1669998062
111,dzaoudzi,-12.7887,45.2699,300.09,83,0,1.03,YT,1669998063
112,tautira,-17.7333,-149.15,299.04,81,52,8.02,PF,1669998063
113,moberly,39.4184,-92.4382,284.78,57,0,6.17,US,1669998039
114,avarua,-21.2078,-159.775,299.18,89,75,4.12,CK,1669998064
115,gaspe,48.8334,-64.4819,272.1,54,75,5.14,CA,1669998064
116,lagoa,39.05,-27.9833,286.75,57,31,11.2,PT,1669998065
117,maymyo,22.0333,96.4667,289.77,86,0,0.71,MM,1669998065
118,saint george,37.1041,-113.5841,284.96,55,75,1.79,US,1669998066
119,carnarvon,-24.8667,113.6333,294.36,77,6,8.11,AU,1669998066
120,qasigiannguit,68.8193,-51.1922,276.29,84,100,0.97,GL,1669998067
121,henties bay,-22.116,14.2845,290.61,81,7,7.42,NA,1669998067
122,sol-iletsk,51.1631,54.9918,261.08,69,3,6.17,RU,1669998068
123,juneau,58.3019,-134.4197,268.83,94,0,2.57,US,1669997986
124,vallenar,-28.5708,-70.7581,300.38,34,0,3.78,CL,1669998068
125,tasiilaq,65.6145,-37.6368,274.24,66,49,2.61,GL,1669998069
126,chunskiy,56.0815,99.6342,254.67,87,100,4.04,RU,1669998070
127,lompoc,34.6391,-120.4579,286.36,97,75,2.57,US,1669998069
128,hilo,19.7297,-155.09,298.86,89,0,3.13,US,1669998070
129,loreto,22.2667,-101.9667,288.49,57,32,1.87,MX,1669997883
130,nalut,30.3333,10.85,293.55,21,4,4.76,LY,1669998071
131,jijiga,9.35,42.8,293.18,49,14,5.83,ET,1669998072
132,zhangye,38.9342,100.4517,265.13,56,90,1.42,CN,1669998072
133,rio branco,-9.9747,-67.81,295.49,94,75,1.54,BR,1669997980
134,barrow,71.2906,-156.7887,273.16,93,100,12.86,US,1669998073
135,kavieng,-2.5744,150.7967,300.98,76,99,2.94,PG,1669998073
136,beloha,-25.1667,45.05,297.64,79,100,1.65,MG,1669998074
137,los llanos de aridane,28.6585,-17.9182,292.66,83,40,7.2,ES,1669998074
138,codrington,-38.2667,141.9667,284.18,87,34,2.75,AU,1669998075
139,provideniya,64.3833,-173.3,274.64,99,100,6.98,RU,1669998075
140,havelock,34.8791,-76.9013,287.12,68,0,3.6,US,1669998076
141,qeshm,26.9581,56.2719,297.09,57,0,3.01,IR,1669998076
142,severo-kurilsk,50.6789,156.125,269.14,65,83,8.15,RU,1669998077
143,guerrero negro,27.9769,-114.0611,289.33,69,72,4.32,MX,1669998077
144,torbay,47.6666,-52.7314,276.8,68,20,9.77,CA,1669998078
145,talcahuano,-36.7167,-73.1167,291.97,52,0,6.17,CL,1669997892
146,pafos,34.7667,32.4167,291.03,72,0,2.57,CY,1669997788
147,fortuna,40.5982,-124.1573,276.47,93,0,4.47,US,1669998079
148,tilichiki,60.4667,166.1,258.52,93,49,1.57,RU,1669997808
149,casablanca,33.5928,-7.6192,292.27,77,75,2.06,MA,1669997824
150,caraballeda,10.6112,-66.8522,301.41,86,21,3.23,VE,1669998079
151,aras,42.5617,-2.356,279.39,57,20,2.06,ES,1669998080
152,dali,25.7,100.1833,282.48,64,0,2.13,CN,1669998080
153,tuktoyaktuk,69.4541,-133.0374,257.15,85,100,4.63,CA,1669998081
154,hofn,64.2539,-15.2082,276.16,93,75,1.03,IS,1669998081
155,marquette,46.5333,-87.6335,274.64,62,100,7.04,US,1669998082
156,taoudenni,22.6783,-3.9836,302.5,10,0,2.98,ML,1669998083
157,vanimo,-2.6741,141.3028,299.04,88,100,3.49,PG,1669998083
158,jinhua,29.1078,119.6547,278.2,95,99,0.75,CN,1669998084
159,alyangula,-13.8483,136.4192,301.93,54,68,1.6,AU,1669998084
160,pontes e lacerda,-15.2261,-59.3353,300.56,72,99,1.1,BR,1669998085
161,rawson,-43.3002,-65.1023,302.13,27,31,11.16,AR,1669998085
162,xining,36.6167,101.7667,269.97,36,100,2.56,CN,1669998085
163,vostok,46.4856,135.8833,251.06,95,31,2.65,RU,1669998086
164,bay roberts,47.5999,-53.2648,277.22,65,5,4.47,CA,1669998087
165,porto novo,6.4965,2.6036,301.49,67,66,3.11,BJ,1669998087
166,rafsanjan,30.4067,55.9939,285.11,40,0,2.75,IR,1669998087
167,paramonga,-10.6667,-77.8333,294.66,77,79,3.81,PE,1669998088
168,pangai,-19.8,-174.35,299.62,81,94,3.56,TO,1669998089
169,asfi,32.2994,-9.2372,291.52,76,8,3.25,MA,1669998089
170,shirokiy,49.758,129.523,254.83,99,100,1.38,RU,1669998090
171,huntingdon,52.3305,-0.1865,280.26,92,69,1.79,GB,1669998090
172,phon,15.816,102.5998,295.0,72,99,4.94,TH,1669998090
173,el campo,29.1966,-96.2697,296.95,100,100,2.06,US,1669998091
174,paraiso,9.8383,-83.8656,298.08,53,2,2.91,CR,1669998092
175,guanica,17.9716,-66.908,303.14,73,3,3.21,PR,1669998092
176,ginir,7.1333,40.7,289.16,46,90,0.94,ET,1669998093
177,chernyshevskiy,63.0128,112.4714,241.81,100,100,1.31,RU,1669998093
178,srandakan,-7.9386,110.2506,298.53,76,62,0.86,ID,1669998094
179,kampot,10.6167,104.1833,298.18,88,100,1.28,KH,1669998094
180,springfield,37.2153,-93.2982,284.9,67,100,8.23,US,1669997825
181,puerto madero,14.7208,-92.4215,302.26,79,0,0.0,MX,1669998095
182,cherskiy,68.75,161.3,241.53,100,62,2.53,RU,1669998096
183,sechura,-5.5569,-80.8222,298.4,57,52,2.48,PE,1669998096
184,swan river,52.1058,-101.2676,251.09,84,99,1.54,CA,1669998097
185,flinders,-34.5833,150.8552,287.14,88,51,0.89,AU,1669998097
186,lamar,33.6668,-95.5836,283.91,96,100,3.09,US,1669998096
187,ufimskiy,56.7084,58.0517,255.14,93,14,0.88,RU,1669998098
188,chimbote,-9.0853,-78.5783,295.1,74,95,4.92,PE,1669998098
189,nishihara,26.1842,127.7558,294.18,88,75,9.26,JP,1669998099
190,dikson,73.5069,80.5464,260.36,94,72,5.13,RU,1669998099
191,ilulissat,69.2167,-51.1,276.16,38,75,10.8,GL,1669998100
192,wajid,3.8093,43.2471,301.64,49,97,4.82,SO,1669998100
193,monster,52.0258,4.175,276.47,87,100,6.17,NL,1669998101
194,whitianga,-36.8333,175.7,284.46,86,5,3.32,NZ,1669998102
195,qaqortoq,60.7167,-46.0333,274.48,62,100,5.21,GL,1669998102
196,lazaro cardenas,17.9583,-102.2,300.86,64,56,0.59,MX,1669998103
197,florence,43.7667,11.25,283.84,87,100,1.45,IT,1669998103
198,champerico,14.3,-91.9167,304.45,66,21,0.46,GT,1669998104
199,salalah,17.0151,54.0924,299.2,69,20,1.54,OM,1669998104
200,hasaki,35.7333,140.8333,279.38,61,100,5.44,JP,1669998105
201,klaksvik,62.2266,-6.589,283.66,96,100,10.43,FO,1669998105
202,goldsboro,35.3849,-77.9928,284.93,53,75,1.54,US,1669997882
203,college,64.8569,-147.8028,258.47,84,100,3.09,US,1669997817
204,upata,8.0086,-62.3989,301.59,54,77,2.43,VE,1669998106
205,dzilam gonzalez,21.2833,-88.9333,302.67,57,4,3.51,MX,1669998107
206,mar del plata,-38.0023,-57.5575,295.83,74,0,4.12,AR,1669998107
207,moron,-34.6534,-58.6198,300.9,49,1,1.67,AR,1669998108
208,cabo san lucas,22.8909,-109.9124,299.32,41,20,0.0,MX,1669998108
209,poum,-20.2333,164.0167,300.0,83,100,5.75,NC,1669998108
210,danville,36.586,-79.395,282.83,52,0,3.13,US,1669997939
211,jinchang,38.4953,102.1739,266.1,54,53,0.87,CN,1669998109
212,whangamata,-37.2,175.8667,287.05,82,26,2.76,NZ,1669998110
213,quixada,-4.9714,-39.0153,305.82,35,84,3.02,BR,1669998110
214,houma,29.5958,-90.7195,296.15,77,0,5.14,US,1669998037
215,kampong thum,12.7111,104.8887,297.99,80,96,4.23,KH,1669998111
216,ouro preto do oeste,-10.7481,-62.2158,298.61,78,100,3.53,BR,1669998008
217,rio grande,-32.035,-52.0986,304.21,68,48,5.66,BR,1669998112
218,gornyye klyuchi,45.25,133.5,259.29,85,100,2.33,RU,1669998112
219,boyolangu,-8.1181,111.8935,297.36,83,100,1.52,ID,1669998113
220,sakakah,29.9697,40.2064,290.91,56,0,4.62,SA,1669998113
221,pacific grove,36.6177,-121.9166,279.5,88,0,4.47,US,1669998114
222,north bend,43.4065,-124.2243,277.63,96,75,5.14,US,1669998114
223,marzuq,14.4,46.4667,293.51,44,0,1.21,YE,1669998115
224,banda aceh,5.5577,95.3222,298.7,81,100,2.13,ID,1669998115
225,high level,58.5169,-117.136,249.21,77,40,0.0,CA,1669998116
226,san quintin,30.4833,-115.95,286.78,68,91,2.62,MX,1669998116
227,beyneu,45.3167,55.2,269.87,37,1,3.73,KZ,1669998116
228,longyearbyen,78.2186,15.6401,278.06,75,75,7.2,SJ,1669998117
229,mount gambier,-37.8333,140.7667,284.56,92,23,2.13,AU,1669998019
230,longhua,23.6137,114.1919,283.82,87,31,1.54,CN,1669998118
231,san carlos de bariloche,-41.1456,-71.3082,291.01,52,40,11.83,AR,1669998064
232,rzhyshchiv,49.9689,31.0463,272.81,59,98,4.05,UA,1669998119
233,durban,-29.8579,31.0292,301.44,85,33,0.89,ZA,1669998102
